tid,item_1,item_2,item_3
1,Item_32729,Item_4463,Item_38698
2,Item_4298,Item_34869,Item_42929
3,Item_26323,Item_48781,Item_36788
4,Item_25661,Item_39302,Item_6406
5,Item_25017,Item_18540,Item_9128
6,Item_41139,Item_32192,Item_20121
7,Item_22523,Item_4607,Item_11362
8,Item_41382,Item_42914,Item_3191
9,Item_35027,Item_8262,Item_37904
10,Item_48533,Item_22284,Item_44657
11,Item_18196,Item_37994,Item_9732
12,Item_2191,Item_27328,Item_7715
13,Item_37238,Item_46125,Item_18333
14,Item_45276,Item_18523,Item_16291
15,Item_23148,Item_9474,Item_39783
16,Item_23785,Item_11346,Item_16510
17,Item_47014,Item_21858,Item_8035
18,Item_35012,Item_4862,Item_15619
19,Item_21760,Item_42085,Item_40238
20,Item_34125,Item_14416,Item_11978
21,Item_40245,Item_9996,Item_41636
22,Item_39345,Item_33243,Item_39018
23,Item_13856,Item_27783,Item_39036
24,Item_1864,Item_6990,Item_28436
25,Item_21980,Item_32722,Item_33420
26,Item_28261,Item_38250,Item_3960
27,Item_28268,Item_4529,Item_27679
28,Item_1541,Item_15197,Item_30142
29,Item_49135,Item_13828,Item_10730
30,Item_1735,Item_42669,Item_11697
31,Item_14069,Item_45883,Item_42782
32,Item_33095,Item_27852,Item_6314
33,Item_20460,Item_49804,Item_33216
34,Item_8349,Item_40700,Item_16061
35,Item_5307,Item_4503,Item_38578
36,Item_23093,Item_35853,Item_8064
37,Item_7616,Item_46901,Item_24867
38,Item_8311,Item_19052,Item_22307
39,Item_34184,Item_30360,Item_31514
40,Item_4383,Item_5901,Item_17130
41,Item_45429,Item_18313,Item_24754
42,Item_48459,Item_38211,Item_13293
43,Item_13057,Item_39451,Item_35844
44,Item_13612,Item_4820,Item_3963
45,Item_35202,Item_22789,Item_6379
46,Item_28961,Item_15298,Item_40433
47,Item_42830,Item_23160,Item_977
48,Item_21605,Item_33165,Item_35972
49,Item_7011,Item_4735,Item_29205
50,Item_37874,Item_4223,Item_20791
51,Item_9412,Item_24700,Item_8973
52,Item_5171,Item_33885,Item_7226
53,Item_39673,Item_8530,Item_15000
54,Item_29052,Item_17344,Item_22352
55,Item_1141,Item_14738,Item_7575
56,Item_23355,Item_39137,Item_24115
57,Item_33557,Item_13792,Item_24333
58,Item_28587,Item_46890,Item_8051
59,Item_47689,Item_13349,Item_40379
60,Item_42489,Item_21946,Item_26033
